Time,trans_x,trans_y,trans_z,rot_z
0,48.6036235231491,332.704261140212,41.5864707535165,-1
0.01,48.6036235231491,332.704261140212,41.5864707535165,-1
0.02,48.5974539346349,332.705474761666,41.5865184284827,-1
0.03,48.5951147601002,332.70931621671,41.593054220183,0
0.04,48.546660260607,332.775094157938,41.621337795533,0
0.05,48.4477370133394,333.004450989028,41.7243168210731,6.67746913833316
0.06,48.3663617957066,333.396403531011,42.2604632457218,6.67746913833316
0.07,48.3146581806969,333.666712843175,43.0265344874903,6.67746913833316
0.08,48.268286514071,333.986076910591,44.3730765472613,6.67746913833316
0.09,48.244789637644,334.255190277332,45.613014400972,6.67746913833316
0.1,48.2579041659375,334.639053227585,48.0720309887997,13.4430727730832
0.11,48.3380119719429,335.299767313135,52.7693696014278,13.4430727730832
0.12,48.4499321562725,336.3298668578,59.4529193956405,13.4430727730832
0.13,48.5223531858979,337.32308657005,65.6820180500946,13.4430727730832
0.14,48.5367256939458,338.418274171848,71.7768829919472,13.4430727730832
0.15,48.4831383464092,339.481649376942,77.1026300416677,20.4428367245422
0.16,48.3509734753874,340.721078111127,82.4635772115938,20.4428367245422
0.17,48.0785784155231,342.154153414595,87.7600083873727,20.4428367245422
0.18,47.4197667832872,344.536635308181,94.4647099200995,20.4428367245422
0.19,46.6962873674208,346.986762634843,100.25309334126,20.4428367245422
0.2,45.6533120077311,350.183193328962,105.975396825441,27.7643450712954
0.21,44.3408390194277,354.020950822895,111.294056710395,27.7643450712954
0.22,43.3509447388682,356.937299454739,115.090271685612,27.7643450712954
0.23,42.1117412851452,360.761516262945,118.473177008239,27.7643450712954
0.24,40.8536284154635,364.942945752878,121.06109588398,27.7643450712954
0.25,39.5010218421638,369.876575084048,122.858140862525,28.8469271197049
0.26,38.0926454216684,376.309873242324,123.2740034886,28.8469271197049
0.27,37.0528510606733,382.056269073556,122.920337875791,28.8469271197049
0.28,36.325711106449,386.371388494011,122.407395921216,28.8469271197049
0.29,35.773953322634,391.701643120183,120.579369079427,28.8469271197049
0.3,35.3456654816972,397.314766468289,117.829068839704,30.3147359656936
0.31,35.1725544782209,403.700687180865,113.727523711113,30.3147359656936
0.32,35.3343192730344,411.873571833209,107.110603253984,30.3147359656936
0.33,35.9201108887211,420.652081147391,99.0123228706328,30.3147359656936
0.34,37.0101931777401,429.775115462891,89.69880822132,30.3147359656936
0.35,38.6172447939799,439.716033868545,79.0904838555892,31.8797895431265
0.36,40.1718745453071,448.556318467392,69.717322164789,31.8797895431265
0.37,41.8469500478034,457.14820546082,61.3768471731804,31.8797895431265
0.38,43.2275128614199,465.361191879714,55.5727306548526,31.8797895431265
0.39,44.1829925398301,471.31247597126,51.9018921745102,31.8797895431265
0.4,44.9749534458113,477.087704012411,50.7274405257901,33.2531796733995
0.41,45.5172526450681,481.830836622807,50.9644858023857,33.2531796733995
0.42,45.8808794201089,487.987807593939,56.8898617637418,33.2531796733995
0.43,45.7547776645219,494.787001551961,69.1778054536925,33.2531796733995
0.44,45.0098743036761,501.489527658018,85.8605209885118,33.2531796733995
0.45,43.6600744690411,507.905955743995,106.45394233577,34.2304119131804
0.46,41.8321822979034,514.007464881258,130.193005280107,34.2304119131804
0.47,39.8218191016691,519.808185096174,156.153092173692,34.2304119131804
0.48,37.8686668170857,525.350608215841,183.074664072534,34.2304119131804
0.49,36.2849305855824,530.168094549026,206.985432983305,34.2304119131804
0.5,35.1216595090837,533.670909571407,224.401346081014,34.8053266789659
0.51,34.3264101047243,536.548629834671,238.745590844051,34.8053266789659
0.52,33.7488041718007,538.998225914777,250.977433853105,34.8053266789659
0.53,33.3416431826649,541.450831191476,262.919517001,34.8053266789659
0.54,33.2762617588572,544.765813683233,277.668826130201,34.8053266789659
0.55,33.7618816910032,548.979234741985,293.996528950883,34.9710587530435
0.56,34.7153094667059,553.530244645131,309.315418734769,34.9710587530435
0.57,35.740305826901,557.436727472394,321.304156073715,34.9710587530435
0.58,36.8440591900552,560.93243250619,330.852060866986,34.9710587530435
0.59,38.0224166052115,564.164716468013,338.503688417461,34.9710587530435
0.6,39.8971242482611,568.391294041427,345.504611698151,34.7495464874134
0.61,42.1295725297907,572.899211110733,350.652868550012,34.7495464874134
0.62,44.1478166271154,576.706039587886,353.940602687957,34.7495464874134
0.63,46.1997892526162,580.293984704702,355.600625863426,34.7495464874134
0.64,48.2767408437131,583.682522827074,355.721717259994,34.7495464874134
0.65,49.8374766238059,586.144922247864,355.489071222081,34.2101288485647
0.66,51.7739668784,588.880071445141,353.380488936355,34.2101288485647
0.67,54.2069090466274,591.968406658332,348.743808065084,34.2101288485647
0.68,57.1149536832014,595.298460025125,340.898636594442,34.2101288485647
0.69,60.1784038256908,598.467958597433,330.707706479076,34.2101288485647
0.7,63.2492785681897,601.40014155312,318.156747571188,33.2896137935487
0.71,66.4506234964929,604.134485823397,302.197658259939,33.2896137935487
0.72,69.5315421863839,606.592215399246,284.183214113743,33.2896137935487
0.73,71.7469577540276,608.319992881415,270.853400866422,33.2896137935487
0.74,73.3757249718358,609.519743074078,260.590040194327,33.2896137935487
0.75,74.6167841740909,610.443476387188,252.475268869962,32.0843358547525
0.76,75.6006695071728,611.128836221319,245.692939612101,32.0843358547525
0.77,76.4172181759283,611.668078790673,239.804040997205,32.0843358547525
0.78,77.1090928889498,612.106428990677,234.50380189483,32.0843358547525
0.79,77.7370844248967,612.472961396069,229.561319741149,32.0843358547525
0.8,78.2759213034015,612.783769477187,224.876718519918,30.8510185256858
0.81,78.7816817147039,613.050799293298,220.328984952258,30.8510185256858
0.82,79.2894489338604,613.323204755683,215.927287981296,30.8510185256858
0.83,79.7757999616479,613.573368087296,211.613181843497,30.8510185256858
0.84,80.2569277427899,613.824035323042,207.354157966444,30.8510185256858
0.85,80.7129341082615,614.039573475632,203.171570764627,29.7579436595855
0.86,81.160415166774,614.24351741156,199.027718287888,29.7579436595855
0.87,81.5853876185717,614.459397799423,194.917358725265,29.7579436595855
0.88,82.0360790008812,614.695243461337,190.833807209285,29.7579436595855
0.89,82.4817183752355,614.910562521135,186.794852633912,29.7579436595855
0.9,82.9160720420778,615.114656912719,182.790878907747,28.9049501522347
0.91,83.3225662671824,615.303771727421,178.852702899782,28.9049501522347
0.92,83.7613859385526,615.506925622404,174.928372172299,28.9049501522347
0.93,84.1896092677331,615.718029100733,171.04265791148,28.9049501522347
0.94,84.6227870325152,615.920049470776,167.205757677984,28.9049501522347
0.95,85.0463827880476,616.069590830894,163.351189420509,28.3942883196077
0.96,85.4946795263148,616.260137145378,159.665289261968,28.3942883196077
0.97,85.9738038403853,616.471902473112,156.035645951513,28.3942883196077
0.98,86.4346304845318,616.693033924895,152.419482467993,28.3942883196077
