Time,trans_x,trans_y,trans_z,rot_z
0,39.4487706417197,347.635665774514,41.5166884789472,-1
0.01,39.4487706417197,347.635665774514,41.5166884789472,-1
0.02,39.4463035175565,347.635718219088,41.5133378497725,-1
0.03,39.4495425098024,347.640767532119,41.514181669565,0
0.04,39.5458383929095,347.717930210151,41.5666167573442,0
0.05,39.9518239074457,348.052463060127,41.8825713265053,7.79000571018997
0.06,40.4593248433421,348.59116962862,42.7861397039199,7.79000571018997
0.07,40.9814935129566,349.224070209086,44.5374166817045,7.79000571018997
0.08,41.3727337917335,349.723674128063,46.6976044900577,7.79000571018997
0.09,41.5962106955574,350.117810373403,48.9830471921456,7.79000571018997
0.1,41.6193418155566,350.38641447854,51.8909681058699,15.7236971213441
0.11,41.336632385774,350.453884554562,57.0327092876671,15.7236971213441
0.12,40.4642860724015,350.245311011169,64.6651615806079,15.7236971213441
0.13,38.9737795942537,349.832063860162,73.5772170946765,15.7236971213441
0.14,37.4367843324596,349.39759476151,81.4314949609817,15.7236971213441
0.15,36.0206879223243,348.982222011263,87.947458190463,24.0902464893422
0.16,34.4345230092531,348.485354658391,94.0822300536384,24.0902464893422
0.17,32.1946322058144,347.806761021107,101.079204507686,24.0902464893422
0.18,29.0421102228731,346.932688886571,108.943786950634,24.0902464893422
0.19,25.8090516865945,346.042787685688,116.064439191241,24.0902464893422
0.2,23.3478977730008,345.407840765904,121.212606359019,32.9905282446625
0.21,20.504214590137,344.774976563053,126.310191185945,32.9905282446625
0.22,17.0460480768415,344.194900850594,131.544305023688,32.9905282446625
0.23,14.4006722715246,343.682905114253,135.37483290482,32.9905282446625
0.24,11.0261556668078,343.155612563794,139.356442264638,32.9905282446625
0.25,6.7589515259233,342.701236844904,143.402774482283,34.516556785469
0.26,1.78381958546266,342.398367111768,147.01618512095,34.516556785469
0.27,-2.2725625031881,342.202701806586,149.693503301221,34.516556785469
0.28,-6.07428068766195,342.123787724605,151.779156562247,34.516556785469
0.29,-9.35080215320007,342.170518888385,153.285870878768,34.516556785469
0.3,-13.1186775749081,342.37434424958,154.363736597211,36.1628673028867
0.31,-18.4323255821879,342.94962134604,155.023569589161,36.1628673028867
0.32,-23.6070081221474,343.666099763216,155.23536386438,36.1628673028867
0.33,-27.4569456460785,344.23526409623,155.304199536698,36.1628673028867
0.34,-32.0350515627824,345.153105028525,154.952096506808,36.1628673028867
0.35,-37.5481739193396,346.547191123642,154.020082390865,37.4795961363133
0.36,-44.2107298047308,348.587837770477,152.07014440984,37.4795961363133
0.37,-49.9705770809619,350.46526240752,150.083677447011,37.4795961363133
0.38,-55.1807976393617,352.276244831177,147.993223921798,37.4795961363133
0.39,-61.4912175949648,354.692537847242,144.692322541688,37.4795961363133
0.4,-68.7027680754366,357.571512577423,140.32585157261,38.2617033534981
0.41,-76.113026155713,360.619966707044,135.333910327899,38.2617033534981
0.42,-82.7766212242397,363.418884677299,130.789470867043,38.2617033534981
0.43,-89.8399278079406,366.417640457555,125.307105411207,38.2617033534981
0.44,-95.0953837230681,368.656717124357,121.177354984698,38.2617033534981
0.45,-102.468037903113,371.918165897117,115.045732170409,38.6166108794552
0.46,-110.715163697909,375.701160663576,108.238769478279,38.6166108794552
0.47,-117.247218133674,378.797684962233,102.974163816975,38.6166108794552
0.48,-123.875333006383,382.018623410404,98.1853024020376,38.6166108794552
0.49,-130.054167439801,385.163512045726,94.1465733262677,38.6166108794552
0.5,-138.531000832141,389.391550148555,90.6170081446663,38.6376794417338
0.51,-148.25456243978,394.130263211196,89.1344343673433,38.6376794417338
0.52,-157.533761564275,398.543940117178,89.6071636086758,38.6376794417338
0.53,-165.1695325878,402.094296687516,90.8871189670558,38.6376794417338
0.54,-172.465606413996,405.39421260647,93.4635946540755,38.6376794417338
0.55,-178.111136181789,407.89384834851,95.8488129065704,38.4071264825392
0.56,-184.855053764704,410.863743207932,100.300020695114,38.4071264825392
0.57,-190.13880273047,413.175758801878,104.061807736524,38.4071264825392
0.58,-199.137002408777,417.092846411774,112.822764255639,38.4071264825392
0.59,-210.101698362478,421.782250258559,124.465155756566,38.4071264825392
0.6,-222.382101399207,427.028591998435,138.065395750708,38.0490978629188
0.61,-235.642004944831,432.624262279116,152.598461962944,38.0490978629188
0.62,-249.580854735194,438.474084455018,167.289694960365,38.0490978629188
0.63,-262.256355638497,443.819588884717,180.136014973758,38.0490978629188
0.64,-274.090450119086,448.847695120628,191.479908132171,38.0490978629188
0.65,-286.226421507656,454.050981222172,202.227569380675,37.6255441555297
0.66,-295.130669838751,457.870629352563,210.017383210174,37.6255441555297
0.67,-304.436275742362,461.962994802116,217.404804977997,37.6255441555297
