Time,trans_x,trans_y,trans_z,rot_z
0,45.2586653971567,335.78645860287,41.4735840041575,-1
0.01,45.2586653971567,335.78645860287,41.4735840041575,-1
0.02,45.2603139779406,335.786315971862,41.4730498624771,-1
0.03,45.2641819267176,335.77032844354,41.4882715891294,0
0.04,45.3102509405499,335.748861615935,41.5072730219888,0
0.05,45.348884914845,335.777491617674,41.536903465286,12.2237628668616
0.06,45.3612248590191,335.806885428447,41.642013648835,12.2237628668616
0.07,45.4146197821962,335.838448299688,41.8130077216879,12.2237628668616
0.08,45.6277877158585,335.813169338855,42.9367448453864,12.2237628668616
0.09,46.014654424343,335.612124134531,46.0643936272919,12.2237628668616
0.1,46.607998241594,335.071735830944,51.6306866216821,24.4728546070626
0.11,47.4524596119557,334.084164153606,60.0225994460847,24.4728546070626
0.12,48.212332617892,333.045063576415,67.8104619592542,24.4728546070626
0.13,48.8117691259075,332.229155915329,73.7565729487634,24.4728546070626
0.14,49.6253245208378,331.004064230132,81.4618050610241,24.4728546070626
0.15,50.6835339762088,329.281106733687,91.0209027160936,37.1056724940946
0.16,52.117521604695,327.11574622224,102.048345176017,37.1056724940946
0.17,53.7882694090416,324.779757447623,113.156378597001,37.1056724940946
0.18,55.752204116739,322.408259671706,123.839277790852,37.1056724940946
0.19,57.7809543948196,320.222924841982,133.275834637343,37.1056724940946
0.2,59.7338158999241,318.358493797721,141.19250807751,50.5752328999782
0.21,61.7654016238511,316.703295327018,148.257980340786,50.5752328999782
0.22,63.2550067359471,315.534975815188,153.302604163433,50.5752328999782
0.23,64.8956369377661,314.464032711944,158.078183851789,50.5752328999782
0.24,66.6152783215806,313.556005608363,162.351389992896,50.5752328999782
0.25,68.4096418824292,312.753537252499,165.959434031884,52.4812140122388
0.26,70.2460358460519,312.057234965811,168.693935671438,52.4812140122388
0.27,72.0237492550393,311.447783319167,170.260011983987,52.4812140122388
0.28,73.7022845522801,310.940671298813,170.478278524479,52.4812140122388
0.29,74.994213789557,310.522900581112,169.914345115576,52.4812140122388
0.3,75.8801733431629,310.23255213882,169.335358046127,54.5461444324656
0.31,76.5011499048525,309.951749084485,167.803424562684,54.5461444324656
0.32,76.7139392355512,309.623272774014,165.054505549505,54.5461444324656
0.33,76.2699080110807,309.202916373945,160.819425311559,54.5461444324656
0.34,75.1675619678651,308.690695145689,155.67864938798,54.5461444324656
0.35,73.4117495944334,308.139686674246,149.677841655308,56.1229682881936
0.36,70.9690040303386,307.577081511106,142.86359115153,56.1229682881936
0.37,68.6492654730863,307.132702350052,136.81912152105,56.1229682881936
0.38,65.8940890417551,306.781291824955,130.245660936239,56.1229682881936
0.39,62.1551756105499,306.521612193133,122.302301470861,56.1229682881936
0.4,57.7912766348417,306.510538399441,114.007935538243,56.6233566599333
0.41,52.8552976362562,306.706712120999,105.992147138536,56.6233566599333
0.42,49.1761398199418,306.887404303935,100.322137135408,56.6233566599333
0.43,44.7631246742883,307.326706576826,95.231963446521,56.6233566599333
0.44,39.6857641460233,308.018314313407,91.4236751840709,56.6233566599333
0.45,35.8743743764948,308.567194008304,88.8880270980143,56.1829240402194
0.46,30.9708545129799,309.373252162605,88.3247649133544,56.1829240402194
0.47,24.7199452339837,310.490971696006,91.0537924127689,56.1829240402194
0.48,18.9927847548915,311.488758113195,95.105844351255,56.1829240402194
0.49,13.545290004004,312.412960405965,100.51269676083,56.1829240402194
0.5,8.75087427220985,313.179011045406,106.131363000875,55.4152657670873
0.51,3.85496663242351,313.951880008986,113.141701005805,55.4152657670873
0.52,-2.72900564163421,315.027914921349,124.945491974514,55.4152657670873
0.53,-11.0898774653443,316.209253723339,141.630853885838,55.4152657670873
0.54,-18.8413672935635,317.208278818336,157.697411174809,55.4152657670873
0.55,-26.6506336218878,318.093700606191,174.38827552599,54.8952041942572
0.56,-33.3490458109733,318.762773476652,188.971708625154,54.8952041942572
0.57,-38.8470034102894,319.265196098961,200.924835546161,54.8952041942572
0.58,-43.9999645022484,319.650263506936,212.112564386935,54.8952041942572
