Time,rot_z
1.47,-36.9633570282968
1.48,-36.9467435763765
1.49,-36.9345321826921
1.5,-36.9269026439669
1.51,-36.9221194037754
1.52,-36.9104364783487
1.53,-36.8902386578694
1.54,-36.8636955948468
1.55,-36.8468207729315
1.56,-36.8359850224414
1.57,-36.8287017628266
1.58,-36.8318193264665
1.59,-36.8345566452742
1.6,-36.8354376084382
1.61,-36.8157783933636
1.62,-36.8116060399234
1.63,-36.8146549404068
1.64,-36.816323867997
1.65,-36.8291094836434
1.66,-36.8500104215062
1.67,-36.8845598866633
1.68,-36.9200769178097
1.69,-36.9556265504683
1.7,-36.9791443286615
1.71,-36.994443709093
1.72,-37.0046617480528
1.73,-37.0024664302206
1.74,-37.0009467249952
1.75,-37.0126534099378
1.76,-37.0203017254137
1.77,-37.0464632371129
1.78,-37.0521537379508
1.79,-37.0568426846206
1.8,-37.0469784810689
1.81,-37.0277596396856
1.82,-37.0021238994183
1.83,-36.9931784484525
1.84,-36.9875259671526
1.85,-36.9602425450288
1.86,-36.9422273847523
1.87,-36.9303265037803
1.88,-36.9229683319523
1.89,-36.9178524121247
1.9,-36.9218881920495
1.91,-36.9444493444803
1.92,-36.9568543516493
1.93,-36.9641551772898
1.94,-36.9879399933801
1.95,-37.0161287285924
1.96,-37.0266689449173
1.97,-37.0462081477895
1.98,-37.0589320533767
1.99,-37.0742075979031
2,-37.1078550080475
2.01,-37.1423824864095
2.02,-37.1725263076511
2.03,-37.1803529852433
2.04,-37.1724943658564
2.05,-37.1591902339069
2.06,-37.1300751868289
2.07,-37.091518642062
2.08,-37.0665527008672
2.09,-37.0309539527417
2.1,-36.99502871327
2.11,-36.9796557554813
2.12,-36.9694487267758
2.13,-36.9339774286117
2.14,-36.8912302911425
2.15,-36.8693644912922
2.16,-36.8425075639412
2.17,-36.8048309641989
2.18,-36.7920552394121
2.19,-36.7959061812938
2.2,-36.7984133379711
2.21,-36.8190926118761
